PKDATAROWID,FLGEXSDE,FLGEXKEL,FLGEXAUC,FLGEXST,NDOSEI,PKPCOM,MIDPNTN,MIDPNTA,MIDPNTNU,MIDPNTAU,RATEN,RATEA,RATENU,RATEAU
33238637,0,1,0,0,1,,,,,,,,,
33238638,0,1,0,0,1,,,,,,,,,
33238639,0,1,0,0,1,,,,,,,,,
33238640,0,1,0,0,1,,,,,,,,,
33238641,0,1,0,0,1,,,,,,,,,
33238642,0,1,0,0,1,,,,,,,,,
33238643,0,1,0,0,1,,,,,,,,,
33238644,0,1,0,0,1,,,,,,,,,
33238645,0,1,0,0,1,,,,,,,,,
33238646,0,1,0,0,1,,,,,,,,,
33238647,0,0,0,0,1,,,,,,,,,
33238648,0,0,0,0,1,,,,,,,,,
33238649,0,0,0,0,1,,,,,,,,,
33238650,0,1,0,0,1,,,,,,,,,
33239339,0,1,0,0,1,,,,,,,,,
33239340,0,1,0,0,1,,,,,,,,,
33239341,0,1,0,0,1,,,,,,,,,
33239343,0,1,0,0,1,,,,,,,,,
33239345,0,1,0,0,1,,,,,,,,,
33239347,0,1,0,0,1,,,,,,,,,
33239348,0,1,0,0,1,,,,,,,,,
33239349,0,1,0,0,1,,,,,,,,,
33239350,0,1,0,0,1,,,,,,,,,
33239351,0,1,0,0,1,,,,,,,,,
33239352,0,1,0,0,1,,,,,,,,,
33239353,0,1,0,0,1,,,,,,,,,
33239354,0,1,0,0,1,,,,,,,,,
33239355,0,1,0,0,1,,,,,,,,,
33239356,0,0,0,0,1,,,,,,,,,
33239357,0,0,0,0,1,,,,,,,,,
33239358,0,0,0,0,1,,,,,,,,,
33239239,0,1,0,0,1,,,,,,,,,
33239240,0,1,0,0,1,,,,,,,,,
33239241,0,1,0,0,1,,,,,,,,,
33239243,0,1,0,0,1,,,,,,,,,
33239245,0,1,0,0,1,,,,,,,,,
33239247,0,1,0,0,1,,,,,,,,,
33239248,0,1,0,0,1,,,,,,,,,
33239249,0,1,0,0,1,,,,,,,,,
33239250,0,1,0,0,1,,,,,,,,,
33239251,0,1,0,0,1,,,,,,,,,
33239252,0,1,0,0,1,,,,,,,,,
33239253,0,0,0,0,1,,,,,,,,,
33239254,0,0,0,0,1,,,,,,,,,
33239255,0,0,0,0,1,,,,,,,,,
33239256,0,0,0,0,1,,,,,,,,,
33239257,0,1,0,0,1,,,,,,,,,
33239258,0,0,0,0,1,,,,,,,,,
33239377,0,1,0,0,1,,,,,,,,,
33239378,0,1,0,0,1,,,,,,,,,
33239379,0,1,0,0,1,,,,,,,,,
33239381,0,1,0,0,1,,,,,,,,,
33239383,0,1,0,0,1,,,,,,,,,
33239385,0,1,0,0,1,,,,,,,,,
33239386,0,1,0,0,1,,,,,,,,,
33239387,0,1,0,0,1,,,,,,,,,
33239388,0,1,0,0,1,,,,,,,,,
33239389,0,1,0,0,1,,,,,,,,,
33239390,0,1,0,0,1,,,,,,,,,
33239391,0,1,0,0,1,,,,,,,,,
33239392,0,1,0,0,1,,,,,,,,,
33239393,0,1,0,0,1,,,,,,,,,
33239394,0,0,0,0,1,,,,,,,,,
33239395,0,0,0,0,1,,,,,,,,,
33239396,0,0,0,0,1,,,,,,,,,
33239457,0,1,0,0,1,,,,,,,,,
33239458,0,1,0,0,1,,,,,,,,,
33239459,0,1,0,0,1,,,,,,,,,
33239461,0,1,0,0,1,,,,,,,,,
33239463,0,1,0,0,1,,,,,,,,,
33239465,0,1,0,0,1,,,,,,,,,
33239466,0,1,0,0,1,,,,,,,,,
33239467,0,1,0,0,1,,,,,,,,,
33239468,0,1,0,0,1,,,,,,,,,
33239469,0,1,0,0,1,,,,,,,,,
33239470,0,1,0,0,1,,,,,,,,,
33239471,0,1,0,0,1,,,,,,,,,
33239472,0,1,0,0,1,,,,,,,,,
33239473,0,1,0,0,1,,,,,,,,,
33239474,0,0,0,0,1,,,,,,,,,
33239475,0,0,0,0,1,,,,,,,,,
33239476,0,0,0,0,1,,,,,,,,,
33238939,0,1,0,0,1,,,,,,,,,
33238940,0,1,0,0,1,,,,,,,,,
33238941,0,1,0,0,1,,,,,,,,,
33238943,0,1,0,0,1,,,,,,,,,
33238945,0,1,0,0,1,,,,,,,,,
33238947,0,1,0,0,1,,,,,,,,,
33238948,0,1,0,0,1,,,,,,,,,
33238949,0,1,0,0,1,,,,,,,,,
33238950,0,1,0,0,1,,,,,,,,,
